"","x","error_rate_mean","average_quality_mean","percent_mapped_mean","percent_peptides_detected_mean","percent_peptides_between_10_and_100_mean","error_rate_median","average_quality_median","percent_mapped_median","percent_peptides_detected_median","percent_peptides_between_10_and_100_median","error_rate_sd","average_quality_sd","percent_mapped_sd","percent_peptides_detected_sd","percent_peptides_between_10_and_100_sd"
"1","trim50.0_n2_rd0_pep168_",0.002148798,35.0125,56.6434991085533,45.2880739452817,17.444369508097,0.0020350175,35,61.5617546594872,56.932565084167,19.8648027008272,0.000390910004725238,0.0640869944461665,14.204497139884,29.2982201409542,14.2386489964628
"2","trim50.0_n2_rd0_pep50_",0.002148798,35.0125,56.6434991085533,45.2880739452817,17.444369508097,0.0020350175,35,61.5617546594872,56.932565084167,19.8648027008272,0.000390910004725238,0.0640869944461665,14.204497139884,29.2982201409542,14.2386489964628
"3","trim50.0_n2_rd50_pep168_",0.002148798,35.0125,56.6434991085533,45.2880739452817,17.444369508097,0.0020350175,35,61.5617546594872,56.932565084167,19.8648027008272,0.000390910004725238,0.0640869944461665,14.204497139884,29.2982201409542,14.2386489964628
"4","trim50.0_n2_rd50_pep50_",0.002148798,35.0125,56.6434991085533,45.2880739452817,17.444369508097,0.0020350175,35,61.5617546594872,56.932565084167,19.8648027008272,0.000390910004725238,0.0640869944461665,14.204497139884,29.2982201409542,14.2386489964628
"5","trim50.0_n3_rd0_pep168_",0.002217693,35.0125,56.6961135965024,45.3281302385055,17.4527511168981,0.002082195,35,61.6020340699411,56.9649219925618,19.8729893884934,0.000441561409295393,0.0619139187366899,13.7091558649608,28.3044503647318,13.7588009298785
"6","trim50.0_n3_rd0_pep50_",0.002217693,35.0125,56.6961135965024,45.3281302385055,17.4527511168981,0.002082195,35,61.6020340699411,56.9649219925618,19.8729893884934,0.000457059481334135,0.0640869944461665,14.1903244650985,29.2978895592248,14.2417119893351
"7","trim50.0_n3_rd50_pep168_",0.002217693,35.0125,56.6961135965024,45.3281302385055,17.4527511168981,0.002082195,35,61.6020340699411,56.9649219925618,19.8729893884934,0.000441561409295393,0.0619139187366899,13.7091558649608,28.3044503647318,13.7588009298785
"8","trim50.0_n3_rd50_pep50_",0.002217693,35.0125,56.6961135965024,45.3281302385055,17.4527511168981,0.002082195,35,61.6020340699411,56.9649219925618,19.8729893884934,0.000441561409295393,0.0619139187366899,13.7091558649608,28.3044503647318,13.7588009298785
"9","trim50.10_n2_rd0_pep168_",0.00196328775,35.4125,74.1611038592849,53.8792229663878,22.0112742384431,0.0018255465,35.4,80.4748232892468,68.7560912854659,25.3264929009723,0.000491244387376371,0.0640869944461665,18.4812100679362,34.1425236756187,17.9878316446187
"10","trim50.10_n2_rd0_pep50_",0.00196328775,35.4125,74.1611038592849,53.8792229663878,22.0112742384431,0.0018255465,35.4,80.4748232892468,68.7560912854659,25.3264929009723,0.000491244387376371,0.0640869944461665,18.4812100679362,34.1425236756187,17.9878316446187
